Channel,net counts,Counts(w),counts(wo),N=1.107
206,59,134,68,
207,42,137,86,
208,64,128,58,
209,39,122,75,
210,35,107,65,
211,30,121,82,
212,42,117,68,
213,59,129,63,
214,40,105,59,
215,59,123,58,
216,52,133,73,
217,28,114,78,
218,61,124,57,
219,70,147,70,
220,34,121,79,
221,29,109,72,
222,55,128,66,
223,26,106,72,
224,43,113,63,
225,51,136,77,
226,61,130,62,
227,27,104,70,
228,41,123,74,
229,12,101,80,
230,31,107,69,
231,42,124,74,
232,42,133,82,
233,29,103,67,
234,25,104,71,
235,36,108,65,
236,15,105,81,
237,27,117,81,
238,20,97,70,
239,51,126,68,
240,31,116,77,
241,40,119,71,
242,55,137,74,
243,54,109,50,
244,50,100,45,
245,24,117,84,
246,-7,78,77,
247,33,95,56,
248,34,104,63,
249,28,97,62,
250,43,115,65,
251,36,110,67,
252,33,95,56,
253,26,96,63,
254,45,115,63,
255,38,106,61,
256,32,104,65,
257,49,104,50,
258,23,107,76,
259,26,99,66,
260,30,112,74,
261,17,89,65,
262,28,99,64,
263,17,94,70,
264,7,88,73,
265,48,97,44,
266,17,75,52,
267,20,101,73,
268,17,82,59,
269,12,81,62,
270,39,94,50,
271,38,83,41,
272,25,85,54,
273,27,79,47,
274,3,73,63,
275,19,74,50,
276,22,76,49,
277,-2,69,64,
278,22,82,54,
279,25,84,53,
280,27,80,48,
281,9,65,51,
282,10,59,44,
283,2,66,58,
284,22,73,46,
285,10,70,54,
286,28,77,44,
287,21,76,50,
288,20,71,46,
289,44,90,42,
290,14,72,52,
291,27,85,52,
292,16,68,47,
293,28,76,43,
294,14,64,45,
295,34,86,47,
296,24,62,34,
297,23,75,47,
298,18,63,41,
299,10,60,45,
300,28,74,42,
301,27,83,51,
302,42,73,28,
303,28,69,37,
304,18,70,47,
305,50,91,37,
306,12,70,52,
307,11,69,52,
308,29,74,41,
309,17,62,41,
310,-5,51,51,
311,17,59,38,
312,41,73,29,
313,25,74,44,
314,16,67,46,
315,23,71,43,
316,27,61,31,
317,32,75,39,
318,10,68,52,
319,24,64,36,
320,9,61,47,
321,22,68,42,
322,37,80,39,
323,33,72,35,
324,4,58,49,
325,17,72,50,
326,25,69,40,
327,18,62,40,
328,33,72,35,
329,33,67,31,
330,21,62,37,
331,30,62,29,
332,22,66,40,
333,16,59,39,
334,24,64,36,
335,22,65,39,
336,17,58,37,
337,30,63,30,
338,19,58,35,
339,36,71,32,
340,19,63,40,
341,29,66,33,
342,17,60,39,
343,21,56,32,
344,30,63,30,
345,28,79,46,
346,22,62,36,
347,14,60,42,
348,6,50,40,
349,14,53,35,
350,29,61,29,
351,36,65,26,
352,17,55,34,
353,15,56,37,
354,15,58,39,
355,0,42,38,
356,22,60,34,
357,11,53,38,
358,13,54,37,
359,9,47,34,
360,17,51,31,
361,28,60,29,
362,21,61,36,
363,33,68,32,
364,23,58,32,
365,27,54,24,
366,9,43,31,
367,25,60,32,
368,21,56,32,
369,50,75,23,
370,32,61,26,
371,12,60,43,
372,12,51,35,
373,41,61,18,
374,34,64,27,
375,13,57,40,
376,28,58,27,
377,31,69,34,
378,33,62,26,
379,29,68,35,
380,17,54,33,
381,26,53,24,
382,35,70,32,
383,33,63,27,
384,19,51,29,
385,23,60,33,
386,25,63,34,
387,29,58,26,
388,38,63,23,
389,24,62,34,
390,45,72,24,
391,35,67,29,
392,44,74,27,
393,19,53,31,
394,25,56,28,
395,42,72,27,
396,33,66,30,
397,46,79,30,
398,43,68,23,
399,42,71,26,
400,54,76,20,
401,59,81,20,
402,54,76,20,
403,49,79,27,
404,46,77,28,
405,61,92,28,
406,67,96,26,
407,51,84,30,
408,72,96,22,
409,52,79,24,
410,75,104,26,
411,62,96,31,
412,87,118,28,
413,80,113,30,
414,65,102,33,
415,71,112,37,
416,66,99,30,
417,102,126,22,
418,87,111,22,
419,93,123,27,
420,92,116,22,
421,104,124,18,
422,102,113,10,
423,72,100,25,
424,94,119,23,
425,126,151,23,
426,106,129,21,
427,103,126,21,
428,113,134,19,
429,113,137,22,
430,119,136,15,
431,115,136,19,
432,126,145,17,
433,114,139,23,
434,129,159,27,
435,116,140,22,
436,94,128,31,
437,147,170,21,
438,99,127,25,
439,132,160,25,
440,108,140,29,
441,115,143,25,
442,127,146,17,
443,105,133,25,
444,134,149,14,
445,137,169,29,
446,103,132,26,
447,132,155,21,
448,131,143,11,
449,93,121,25,
450,110,134,22,
451,138,160,20,
452,103,117,13,
453,123,143,18,
454,87,119,29,
455,108,125,15,
456,103,137,31,
457,115,136,19,
458,103,130,24,
459,101,123,20,
460,94,117,21,
461,80,110,27,
462,73,101,25,
463,62,94,29,
464,68,95,24,
465,87,106,17,
466,66,95,26,
467,79,97,16,
468,56,80,22,
469,72,95,21,
470,73,95,20,
471,85,103,16,
472,68,86,16,
473,68,87,17,
474,58,81,21,
475,66,85,17,
476,35,57,20,
477,25,52,24,
478,50,73,21,
479,37,58,19,
480,31,60,26,
481,42,63,19,
482,29,53,22,
483,32,61,26,
484,30,48,16,
485,38,57,17,
486,27,57,27,
487,29,53,22,
488,24,46,20,
489,37,61,22,
490,22,36,13,
491,27,55,25,
492,31,50,17,
493,12,36,22,
494,19,44,23,
495,23,42,17,
496,9,26,15,
497,10,32,20,
498,24,47,21,
499,18,40,20,
500,13,37,22,
501,16,38,20,
502,24,45,19,
503,7,31,22,
504,1,21,18,
505,8,27,17,
506,14,34,18,
507,18,37,17,
508,11,30,17,
509,7,24,15,
510,-2,23,23,
511,6,28,20,
512,-7,21,25,
513,5,30,23,
514,3,26,21,
515,2,26,22,
516,13,31,16,
517,0,23,21,
518,4,23,17,
519,1,20,17,
520,13,30,15,
521,5,27,20,
522,7,22,14,
523,2,25,21,
524,1,25,22,
525,-1,22,21,
526,22,33,10,
527,12,35,21,
528,15,29,13,
529,-1,29,27,
530,12,27,14,
531,-6,17,21,
532,7,22,14,
533,11,29,16,
534,9,20,10,
535,-3,30,30,
536,4,25,19,
537,-1,27,25,
538,13,28,14,
539,-3,20,21,
540,12,30,16,
541,-1,23,22,
542,-9,24,30,
543,5,26,19,
544,-6,21,24,
545,1,23,20,
546,1,20,17,
547,4,27,21,
548,2,27,23,
549,2,30,25,
550,9,23,13,
551,22,33,10,
552,9,26,15,
553,1,23,20,
554,3,21,16,
555,11,29,16,
556,2,23,19,
557,-3,25,25,
558,20,32,11,
559,-3,21,22,
560,-11,18,26,
561,8,29,19,
562,-11,18,26,
563,-9,16,23,
564,6,23,15,
565,8,33,23,
566,12,35,21,
567,-6,21,24,
568,15,33,16,
569,2,31,26,
570,7,31,22,
571,-3,24,24,
572,4,28,22,
573,-4,19,21,
574,-6,21,24,
575,11,34,21,
576,-16,25,37,
577,-11,21,29,
578,-2,25,24,
579,-4,27,28,
580,15,33,16,
581,-5,22,24,
582,-8,29,33,
583,-6,26,29,
584,-10,25,32,
585,10,34,22,
586,-2,27,26,
587,13,36,21,
588,-3,29,29,
589,3,31,25,
590,-5,26,28,
591,4,31,24,
592,3,34,28,
593,-2,28,27,
594,14,36,20,
595,-9,25,31,
596,3,40,33,
597,-7,37,40,
598,15,40,23,
599,-5,33,34,
600,-3,31,31,
601,17,34,15,
602,4,34,27,
603,6,35,26,
604,-9,30,35,
605,-7,41,43,
606,-4,31,32,
607,2,29,24,
608,9,37,25,
609,1,36,32,
610,1,35,31,
611,2,26,22,
612,-13,29,38,
613,-11,32,39,
614,-10,30,36,
615,4,36,29,
616,24,41,15,
617,3,34,28,
618,6,30,22,
619,4,37,30,
620,-7,30,33,
621,8,40,29,
622,-9,31,36,
623,-7,33,36,
624,-12,27,35,
625,7,35,25,
626,-14,27,37,
627,-2,32,31,
628,3,33,27,
629,-12,25,33,
630,-17,18,32,
631,14,43,26,
632,-4,24,25,
633,-19,19,34,
634,-4,30,31,
635,-9,30,35,
636,-15,20,32,
637,6,28,20,
638,-2,26,25,
639,12,31,17,
640,-6,29,32,
641,3,26,21,
642,-5,16,19,
643,-10,20,27,
644,-3,27,27,
645,0,27,24,
646,5,30,23,
647,2,22,18,
648,9,28,17,
649,-5,20,23,
650,10,19,8,
651,4,19,14,
652,-11,12,21,
653,-9,22,28,
654,-2,28,27,
655,1,19,16,
656,-4,16,18,
657,-4,19,21,
658,-7,20,24,
659,-9,16,23,
660,3,23,18,
661,-4,16,18,
662,-6,16,20,
663,2,26,22,
664,-1,14,14,
665,-1,20,19,
666,4,22,16,
667,10,24,13,
668,6,24,16,
669,14,22,7,
670,-2,20,20,
671,5,19,13,
672,-4,16,18,
673,-6,19,23,
674,3,13,9,
675,3,17,13,
676,1,19,16,
677,2,13,10,
678,6,20,13,
679,5,16,10,
680,-3,15,16,
681,-4,9,12,
682,6,19,12,
683,4,18,13,
684,3,15,11,
685,1,13,11,
686,-4,13,15,
687,-7,10,15,
688,-1,8,8,
689,-4,7,10,
690,1,11,9,
691,0,13,12,
692,-4,9,12,
693,-6,7,12,
694,3,14,10,
695,5,17,11,
696,-3,7,9,
697,1,12,10,
698,-1,12,12,
699,9,21,11,
700,0,11,10,
701,5,11,5,
702,0,13,12,
703,-4,7,10,
704,1,12,10,
705,3,16,12,
706,-2,11,12,
707,-2,8,9,
708,-1,7,7,
709,-4,5,8,
710,8,17,8,
711,9,15,5,
712,-5,12,15,
713,-9,8,15,
714,3,9,5,
715,2,12,9,
716,-5,12,15,
717,-3,12,14,
718,1,10,8,
719,3,12,8,
720,-3,5,7,
721,0,7,6,
722,-1,6,6,
723,4,12,7,
724,-4,8,11,
725,7,15,7,
726,3,9,5,
727,-1,9,9,
728,1,9,7,
729,-2,9,10,
730,-3,6,8,
731,-2,7,8,
732,-1,7,7,
733,-11,7,16,
734,-1,9,9,
735,0,9,8,
736,-7,4,10,
737,0,9,8,
738,1,9,7,
739,-5,6,10,
740,1,8,6,
741,3,10,6,
742,-4,5,8,
743,1,9,7,
744,8,14,5,
745,7,13,5,
746,2,9,6,
747,2,9,6,
748,-1,8,8,
749,4,10,5,
750,0,7,6,
751,1,5,4,
752,-4,8,11,
753,3,7,4,
754,-5,7,11,
755,-4,6,9,
756,2,10,7,
757,0,9,8,
758,-3,4,6,
759,0,7,6,
760,-4,9,12,
761,5,9,4,
762,3,9,5,
763,0,6,5,
764,-2,7,8,
765,6,12,5,
766,-2,5,6,
767,1,5,4,
768,-1,3,4,
769,-1,8,8,
770,0,4,4,
771,3,13,9,
772,0,7,6,
773,-5,6,10,
774,-1,7,7,
775,-4,2,5,
776,5,7,2,
777,3,14,10,
778,-4,7,10,
779,3,7,4,
780,-1,8,8,
781,10,13,3,
782,-4,6,9,
783,-1,8,8,
784,1,7,5,
785,5,13,7,
786,-3,5,7,
787,4,13,8,
788,-7,2,8,
789,5,8,3,
790,0,10,9,
791,1,9,7,
792,3,11,7,
793,3,7,4,
794,-4,5,8,
795,6,7,1,
796,2,8,5,
797,-7,4,10,
798,2,5,3,
799,-1,5,5,
800,3,7,4,
801,5,9,4,
802,4,5,1,
803,0,7,6,
804,0,7,6,
805,2,6,4,
806,4,7,3,
807,3,7,4,
808,3,12,8,
809,-4,3,6,
810,4,5,1,
811,1,4,3,
812,-5,5,9,
813,-3,4,6,
814,4,7,3,
815,-1,5,5,
816,1,5,4,
817,-2,4,5,
818,0,2,2,
819,-5,3,7,
820,5,8,3,
821,1,7,5,
822,6,10,4,
823,4,7,3,
824,-2,8,9,
825,1,5,4,
826,-5,7,11,
827,2,4,2,
828,0,7,6,
829,6,7,1,
830,-1,3,4,
831,2,4,2,
832,5,9,4,
833,0,8,7,
834,-2,4,5,
835,0,3,3,
836,-4,4,7,
837,-3,4,6,
838,6,10,4,
839,-2,5,6,
840,2,6,4,
841,2,6,4,
842,4,7,3,
843,-1,7,7,
844,4,10,5,
845,4,5,1,
846,-1,1,2,
847,1,5,4,
848,-6,2,7,
849,1,4,3,
850,-2,4,5,
851,1,5,4,
852,3,7,4,
853,1,4,3,
854,-4,4,7,
855,1,5,4,
856,-3,7,9,
857,2,6,4,
858,-3,4,6,
859,1,4,3,
860,-1,5,5,
861,1,4,3,
862,-1,3,4,
863,-1,6,6,
864,3,6,3,
865,-4,2,5,
866,7,8,1,
867,-1,2,3,
868,4,6,2,
869,-1,1,2,
870,4,7,3,
871,2,5,3,
872,-1,1,2,
873,-2,1,3,
874,-1,5,5,
875,-1,3,4,
876,1,3,2,
877,0,2,2,
878,-3,3,5,
879,-4,2,5,
880,3,6,3,
881,-1,2,3,
882,2,3,1,
883,-1,1,2,
884,0,2,2,
885,-1,2,3,
886,0,2,2,
887,-6,1,6,
888,1,2,1,
889,-3,1,4,
890,1,3,2,
891,1,3,2,
892,2,3,1,
893,-4,0,4,
894,-4,3,6,
895,-4,2,5,
896,3,3,0,
897,1,3,2,
898,-1,1,2,
899,-1,1,2,
900,1,2,1,
901,-2,1,3,
902,-2,0,2,
903,2,2,0,
904,0,1,1,
905,0,1,1,
906,-1,2,3,
907,0,3,3,
908,2,3,1,
909,-1,1,2,
910,-2,0,2,
911,0,2,2,
912,2,3,1,
913,2,2,0,
914,2,2,0,
915,1,2,1,
916,5,5,0,
917,1,2,1,
918,0,1,1,
919,3,3,0,
920,0,0,0,
921,3,3,0,
922,1,3,2,
923,-3,0,3,
924,0,0,0,
925,-1,1,2,
926,-3,0,3,
927,-2,2,4,
928,0,1,1,
929,-2,2,4,
930,0,1,1,
931,1,3,2,
932,2,3,1,
933,-1,0,1,
934,-1,1,2,
935,-2,0,2,
936,0,1,1,
937,-2,1,3,
938,1,2,1,
939,1,2,1,
940,0,2,2,
941,3,3,0,
942,-1,1,2,
943,-2,0,2,
944,1,1,0,
945,-1,0,1,
946,-2,0,2,
947,-2,0,2,
948,0,0,0,
949,-2,0,2,
950,0,1,1,
951,-1,0,1,
952,2,4,2,
953,-2,0,2,
954,3,3,0,
955,1,2,1,
956,1,1,0,
957,0,1,1,
958,3,3,0,
959,1,1,0,
960,-3,0,3,
961,4,5,1,
962,1,1,0,
963,0,0,0,
964,2,2,0,
965,4,4,0,
966,-2,1,3,
967,0,1,1,
968,-2,0,2,
969,1,2,1,
970,1,1,0,
971,0,3,3,
972,1,2,1,
973,0,1,1,
974,0,1,1,
975,0,2,2,
976,2,2,0,
977,1,2,1,
978,-3,1,4,
979,0,0,0,
980,-2,2,4,
981,0,0,0,
982,3,4,1,
983,2,3,1,
984,0,1,1,
985,-1,1,2,
986,1,1,0,
987,-1,0,1,
988,0,1,1,
989,1,2,1,
990,-1,0,1,
991,-2,1,3,
992,-2,0,2,
993,-2,0,2,
994,0,0,0,
995,-1,0,1,
996,1,1,0,
997,1,1,0,
998,-1,0,1,
999,2,3,1,
1000,0,2,2,
1001,-2,0,2,
1002,1,1,0,
1003,-1,2,3,
1004,-1,1,2,
1005,2,2,0,
1006,0,1,1,
1007,-1,1,2,
1008,0,0,0,
1009,2,2,0,
1010,-1,1,2,
1011,1,2,1,
1012,-3,0,3,
1013,1,2,1,
1014,0,1,1,
1015,-2,0,2,
1016,-1,0,1,
1017,0,1,1,
1018,5,6,1,
1019,1,2,1,
1020,4,4,0,
1021,1,1,0,
1022,0,1,1,
1023,1,1,0,
1024,0,1,1,
1025,2,3,1,
1026,0,0,0,
1027,-3,0,3,
1028,-1,0,1,
1029,2,2,0,
1030,2,2,0,
1031,-3,0,3,
1032,0,1,1,
1033,0,1,1,
1034,1,1,0,
1035,0,0,0,
1036,-1,0,1,
1037,2,2,0,
1038,-1,2,3,
1039,0,1,1,
1040,-4,0,4,
1041,3,3,0,
1042,1,4,3,
1043,1,3,2,
1044,-2,0,2,
1045,0,2,2,
1046,2,3,1,
1047,2,2,0,
1048,-2,0,2,
1049,1,2,1,
1050,-2,0,2,
1051,2,3,1,
1052,-1,0,1,
1053,0,3,3,
1054,-1,1,2,
1055,1,1,0,
1056,-2,0,2,
1057,-1,1,2,
1058,1,2,1,
1059,1,2,1,
1060,-2,0,2,
1061,2,3,1,
1062,-2,0,2,
1063,0,1,1,
1064,-1,0,1,
1065,-3,0,3,
1066,2,2,0,
1067,1,3,2,
1068,-1,0,1,
1069,1,3,2,
1070,-1,1,2,
1071,0,1,1,
1072,1,1,0,
1073,2,2,0,
1074,-3,0,3,
1075,-1,0,1,
1076,3,3,0,
1077,-1,0,1,
1078,-4,0,4,
1079,-2,0,2,
1080,1,1,0,
1081,1,4,3,
1082,1,2,1,
1083,0,1,1,
1084,0,2,2,
1085,2,2,0,
1086,-1,0,1,
1087,-3,1,4,
1088,-3,0,3,
1089,-2,0,2,
1090,0,2,2,
1091,1,2,1,
1092,0,1,1,
1093,0,1,1,
1094,1,2,1,
1095,0,0,0,
1096,2,2,0,
1097,-1,1,2,
1098,2,3,1,
1099,0,1,1,
1100,-1,0,1,
1101,0,1,1,
1102,1,2,1,
1103,-2,0,2,
1104,0,1,1,
1105,2,3,1,
1106,-1,1,2,
1107,0,1,1,
1108,0,1,1,
1109,3,3,0,
1110,3,3,0,
1111,-3,0,3,
1112,0,1,1,
1113,2,3,1,
1114,1,1,0,
1115,0,1,1,
1116,1,2,1,
1117,0,0,0,
1118,3,3,0,
1119,-2,0,2,
1120,0,3,3,
1121,4,4,0,
1122,0,2,2,
1123,-1,0,1,
1124,-2,0,2,
1125,-4,0,4,
1126,1,1,0,
1127,-1,0,1,
1128,-1,0,1,
1129,1,2,1,
1130,1,1,0,
1131,-1,0,1,
1132,1,2,1,
1133,-2,0,2,
1134,1,2,1,
1135,0,1,1,
1136,-1,2,3,
1137,-1,0,1,
1138,0,2,2,
1139,0,2,2,
1140,-2,0,2,
1141,2,3,1,
1142,2,3,1,
1143,0,1,1,
1144,1,2,1,
1145,1,2,1,
1146,0,1,1,
1147,0,1,1,
1148,-3,0,3,
1149,-3,1,4,
1150,2,3,1,
1151,-1,1,2,
1152,-2,0,2,
1153,1,3,2,
1154,2,3,1,
1155,0,0,0,
1156,-1,2,3,
1157,1,1,0,
1158,1,1,0,
1159,6,6,0,
1160,0,0,0,
1161,1,1,0,
1162,1,2,1,
1163,1,2,1,
1164,-1,0,1,
1165,1,2,1,
1166,0,0,0,
1167,1,1,0,
1168,-6,0,5,
1169,0,1,1,
1170,0,1,1,
1171,3,3,0,
1172,2,2,0,
1173,0,1,1,
1174,0,1,1,
1175,-3,0,3,
1176,1,2,1,
1177,-1,0,1,
1178,1,2,1,
1179,0,0,0,
1180,1,2,1,
1181,2,2,0,
1182,1,1,0,
1183,0,1,1,
1184,-1,0,1,
1185,-1,2,3,
1186,-1,1,2,
1187,2,2,0,
1188,0,0,0,
1189,-1,0,1,
1190,0,1,1,
1191,-3,1,4,
1192,1,2,1,
1193,-1,2,3,
1194,1,1,0,
1195,-2,0,2,
1196,0,1,1,
1197,0,1,1,
1198,0,2,2,
1199,1,2,1,
1200,0,0,0,
1201,-1,0,1,
1202,2,2,0,
1203,1,1,0,
1204,-1,0,1,
1205,-1,0,1,
1206,2,3,1,
1207,0,0,0,
1208,-2,1,3,
1209,-4,0,4,
1210,1,2,1,
1211,0,0,0,
1212,-2,2,4,
1213,2,2,0,
1214,-1,0,1,
1215,3,3,0,
1216,-1,0,1,
1217,3,3,0,
1218,0,2,2,
1219,0,3,3,
1220,1,2,1,
1221,0,1,1,
1222,1,1,0,
1223,-1,0,1,
1224,1,1,0,
1225,0,2,2,
1226,-2,1,3,
1227,-2,1,3,
1228,0,1,1,
1229,0,0,0,
1230,2,2,0,
1231,0,1,1,
1232,0,2,2,
1233,0,1,1,
1234,0,0,0,
1235,-1,1,2,
1236,2,2,0,
1237,1,2,1,
1238,0,2,2,
1239,-1,1,2,
1240,0,2,2,
1241,0,2,2,
1242,0,1,1,
1243,0,2,2,
1244,2,2,0,
1245,-1,1,2,
1246,-2,0,2,
1247,-2,0,2,
1248,-2,0,2,
1249,-1,0,1,
1250,2,2,0,
1251,-2,0,2,
1252,0,1,1,
1253,-1,0,1,
1254,-2,0,2,
1255,1,1,0,
1256,-1,0,1,
1257,0,2,2,
1258,-1,0,1,
1259,4,4,0,
1260,0,0,0,
1261,3,4,1,
1262,-2,0,2,
1263,1,2,1,
1264,0,1,1,
1265,1,2,1,
1266,1,3,2,
1267,-1,2,3,
1268,-1,0,1,
1269,0,0,0,
1270,-1,0,1,
1271,3,3,0,
1272,3,3,0,
1273,0,0,0,
1274,1,1,0,
1275,-2,1,3,
1276,1,1,0,
1277,-1,0,1,
1278,0,1,1,
1279,-1,1,2,
1280,0,1,1,
1281,1,2,1,
1282,0,0,0,
1283,2,2,0,
1284,0,1,1,
1285,2,2,0,
1286,-2,1,3,
1287,-3,1,4,
1288,0,1,1,
1289,0,2,2,
1290,0,1,1,
1291,0,0,0,
1292,1,1,0,
1293,-1,0,1,
1294,0,1,1,
1295,-2,1,3,
1296,0,2,2,
1297,1,1,0,
1298,1,1,0,
1299,0,2,2,
1300,-1,0,1,
1301,2,4,2,
1302,1,2,1,
1303,1,2,1,
1304,0,0,0,
1305,1,3,2,
1306,6,6,0,
1307,1,1,0,
1308,1,1,0,
1309,0,1,1,
1310,-1,0,1,
1311,-2,1,3,
1312,0,1,1,
1313,1,2,1,
1314,0,0,0,
1315,2,2,0,
1316,1,2,1,
1317,-1,1,2,
1318,1,2,1,
1319,2,2,0,
1320,0,0,0,
1321,-2,2,4,
1322,0,1,1,
1323,-1,1,2,
1324,-1,1,2,
1325,1,3,2,
1326,-4,0,4,
1327,0,0,0,
1328,0,1,1,
1329,-2,1,3,
1330,-2,1,3,
1331,0,0,0,
1332,0,0,0,
1333,-1,1,2,
1334,0,3,3,
1335,2,2,0,
1336,0,1,1,
1337,2,2,0,
1338,0,1,1,
1339,2,2,0,
1340,-3,0,3,
1341,3,3,0,
1342,2,3,1,
1343,0,1,1,
1344,-1,1,2,
1345,0,2,2,
1346,-1,1,2,
1347,-1,0,1,
1348,-2,0,2,
1349,-3,0,3,
1350,3,4,1,
1351,0,0,0,
1352,1,1,0,
1353,-1,1,2,
1354,-1,1,2,
1355,4,4,0,
1356,-2,0,2,
1357,0,2,2,
1358,1,3,2,
1359,0,1,1,
1360,-1,1,2,
1361,2,2,0,
1362,1,2,1,
1363,3,5,2,
1364,-1,1,2,
1365,-2,0,2,
1366,0,1,1,
1367,-2,0,2,
1368,-1,1,2,
1369,0,1,1,
1370,0,0,0,
1371,2,3,1,
1372,2,3,1,
1373,0,1,1,
1374,0,0,0,
1375,3,5,2,
1376,3,4,1,
1377,-1,2,3,
1378,-1,1,2,
1379,2,2,0,
1380,-1,1,2,
1381,0,1,1,
1382,-1,1,2,
1383,-1,1,2,
1384,3,4,1,
1385,-2,1,3,
1386,0,0,0,
1387,0,0,0,
1388,0,1,1,
1389,4,4,0,
1390,-1,1,2,
1391,0,0,0,
1392,-1,1,2,
1393,-3,1,4,
1394,0,1,1,
1395,4,4,0,
1396,2,3,1,
1397,4,4,0,
1398,-1,0,1,
1399,-1,1,2,
1400,0,2,2,
1401,1,1,0,
1402,0,2,2,
1403,1,2,1,
1404,-2,0,2,
1405,1,1,0,
1406,1,2,1,
1407,0,1,1,
1408,-3,0,3,
1409,-1,1,2,
1410,-3,0,3,
1411,3,3,0,
1412,-1,1,2,
1413,-2,0,2,
1414,1,1,0,
1415,0,0,0,
1416,0,1,1,
1417,0,0,0,
1418,-1,0,1,
1419,0,2,2,
1420,2,3,1,
1421,0,1,1,
1422,-1,0,1,
1423,0,2,2,
1424,1,2,1,
1425,0,1,1,
1426,1,1,0,
1427,-1,1,2,
1428,0,1,1,
1429,-3,0,3,
1430,-2,1,3,
1431,0,1,1,
1432,0,0,0,
1433,0,0,0,
1434,-2,0,2,
1435,1,1,0,
1436,-1,0,1,
1437,-2,0,2,
1438,-1,1,2,
1439,0,3,3,
1440,-1,1,2,
1441,-1,1,2,
1442,2,6,4,
1443,0,1,1,
1444,0,1,1,
1445,1,1,0,
1446,0,1,1,
1447,1,1,0,
1448,1,1,0,
1449,0,1,1,
1450,2,2,0,
1451,-2,0,2,
1452,0,1,1,
1453,-3,0,3,
1454,-2,0,2,
1455,0,1,1,
1456,0,1,1,
